Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-9.6590197018076E-05,2.66945392179974E-09,0.017511404414247,0,0,0,0.219640722451849,9.7527390976077E-05,-2.49731365889959E-13,-2.33467801644995E-08,4.60993568895392E-05,-6.31467170287875E-15,0.000131926303651487,0,0,0,0,0,0,package://hi_1_21_240815/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/base_link.STL,,base-1;5045-3;镜向5045-24,shenti,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
r_hip_yaw_link,-0.0452945773118738,8.81715097111602E-05,-0.0415560509674436,0,0,0,0.120408658433537,4.11024304540314E-05,-1.17241833095431E-08,7.32862007183345E-07,2.69917328362111E-05,2.03837278278495E-07,2.98073392159216E-05,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_hip_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_hip_yaw_link.STL,,镜向大腿2-4/镜向保存实体1[6]-1;镜向大腿2-4/镜向保存实体1[13]-1;镜向5045-27,yt-1,yt1,r_hip_yaw_jiont,revolute,0,-0.0750000000000002,0,0,0,0,base_link,0,0,-1,21,21,-3.14,3.14,,,,,,,,
r_hip_roll_link,-0.00585514226993999,0.000707913786671677,-0.000520393992596097,0,0,0,0.216049524730802,5.82099492702052E-05,7.54668754162213E-07,6.8571890279089E-07,7.98066439527875E-05,6.12044500417285E-07,5.28889818390366E-05,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_hip_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_hip_roll_link.STL,,镜向大腿2-4/镜向保存实体1[3]-1;镜向大腿2-4/镜向保存实体1[9]-1;镜向5045-25;镜向5045-26;镜向大腿2-4/镜向保存实体1[5]-1;镜向大腿2-4/镜向保存实体1[7]-1,yt-23,yt2,r_hip_roll_jiont,revolute,0,0,-0.059,0,0,0,r_hip_yaw_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
r_thigh_link,0.00103801707041157,-0.000603161704391009,-0.0838693764326068,0,0,0,0.169091271696126,0.000355117443370859,-9.01629128908972E-11,8.36208801999528E-06,0.000362770214304677,-4.13355953552034E-08,1.21701792916971E-05,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_thigh_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_thigh_link.STL,,镜向大腿2-4/镜向保存实体1[2]-1;镜向大腿2-4/镜向保存实体1[12]-1;镜向大腿2-4/镜向保存实体1[16]-1;镜向大腿2-4/镜向保存实体1[14]-1;镜向大腿2-4/镜向保存实体1[11]-1;镜向大腿2-4/镜向保存实体1[10]-1;镜向大腿2-4/镜向保存实体1[4]-1,yt-23,yt3,r_thigh_jiont,revolute,0,0,0,0,0,0,r_hip_roll_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_calf_link,0.00341568016745786,9.14311076849472E-09,-0.0862881016500004,0,0,0,0.345864574670698,0.00010131115734342,-2.06713733285833E-10,-9.41534517766059E-07,0.000130660154686472,3.87925888041405E-08,5.93607176151694E-05,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_calf_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_calf_link.STL,,镜向小腿2-4/镜向实体27-1;镜向4538-13;镜向小腿2-4/镜向07-Π-踝关节输出-2-solid1-1;镜向4538-14;镜向小腿2-4/镜向07-Π-踝关节输出-1-solid1-1;镜向小腿2-4/镜向实体20-1;镜向大腿2-4/镜向保存实体1[1]-1,yt-4,yt4,r_calf_jiont,revolute,0,0,-0.15,0,0,0,r_thigh_link,0,1,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_pitch_link,-1.42070857855892E-08,8.21263110295511E-09,-4.70824490506061E-11,0,0,0,0.0115843691950255,2.75883933430468E-07,5.81381572917169E-15,1.41926800526937E-12,1.11899769215908E-06,1.67197360549161E-13,1.03965074716124E-06,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_ankle_pitch_link.STL,0.650980392156863,0.619607843137255,0.588235294117647,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_ankle_pitch_link.STL,,镜向小腿2-4/镜向07-Π-6-16-1铜垫片-2-solid1-1;镜向小腿2-4/镜向07-Π-6-16-1铜垫片-1-solid1-1;镜向小腿2-4/镜向07-Π-踝关节十字轴-磁铁双编-1-solid1-1,yt-56,yt5,r_ankle_pitch_jiont,revolute,0,0,-0.175449999999999,0,0,0,r_calf_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
r_ankle_roll_link,0.0170975854819203,2.18025711873349E-07,-0.021695426745728,0,0,0,0.258817325242768,8.64990486695615E-05,8.64833602408428E-10,-2.04033925096855E-08,0.000308957001898263,-6.42479544638428E-10,0.000388373719804448,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_ankle_roll_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/r_ankle_roll_link.STL,,镜向小腿2-4/镜向07-Π-脚踝-1-solid1-1;镜向小腿2-4/镜向07-Π-脚板-磁铁双编_块-1-solid1-1;镜向脚掌-5;镜向小腿2-4/镜向07-Π-8-14-4-2-solid1-1,yt-56,yt6,r_ankle_roll_jiont,revolute,0,0,0,0,0,0,r_ankle_pitch_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_hip_yaw_link,-0.0452945783419357,-8.81718843534737E-05,-0.0415560520151556,0,0,0,0.120408666428651,4.11024343536449E-05,1.172450759819E-08,7.32862090013273E-07,2.69917353243841E-05,-2.0383741804376E-07,2.98073415846644E-05,0,0,0,0,0,0,package://hi_1_21_240815/meshes/l_hip_yaw_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/l_hip_yaw_link.STL,,大腿2-1/保存实体1[6]-1;大腿2-1/保存实体1[13]-1;5045-4,zt-1,zt1,l_hip_yaw_jiont,revolute,0,0.075,0,0,0,0,base_link,0,0,-1,21,21,-3.14,3.14,,,,,,,,
l_hip_roll_link,-0.00585514195982811,-0.000707913734277755,-0.000520393954080711,0,0,0,0.21604954072103,5.82099538295001E-05,-7.54668754162198E-07,6.85718902790881E-07,7.98066515738237E-05,-6.12044407775941E-07,5.2888986458804E-05,0,0,0,0,0,0,package://hi_1_21_240815/meshes/l_hip_roll_link.STL,1,1,1,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/l_hip_roll_link.STL,,5045-1;5045-2;大腿2-1/保存实体1[3]-1;大腿2-1/保存实体1[9]-1;大腿2-1/保存实体1[5]-1;大腿2-1/保存实体1[7]-1,zt-23,zt2,l_hip_roll_jiont,revolute,0,0,-0.0590000000000001,0,0,0,l_hip_yaw_link,1,0,0,21,21,-3.14,3.14,,,,,,,,
l_thigh_link,0.00123405264082221,0.000430789183891705,-0.0803449387076524,0,0,0,0.167652016790401,0.000355529853764871,9.00173981645346E-11,8.36208812608463E-06,0.000363827137759541,4.13354397598421E-08,1.25825954316909E-05,0,0,0,0,0,0,package://hi_1_21_240815/meshes/l_thigh_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://hi_1_21_240815/meshes/l_thigh_link.STL,,大腿2-1/保存实体1[2]-1;大腿2-1/保存实体1[14]-1;大腿2-1/保存实体1[16]-1;大腿2-1/保存实体1[8]-1;大腿2-1/保存实体1[11]-1;大腿2-1/保存实体1[12]-1;大腿2-1/保存实体1[4]-1,zt-23,zt3,l_thigh_jiont,revolute,0,0,0,0,0,0,l_hip_roll_link,0,-1,0,21,21,-3.14,3.14,,,,,,,,
